aluguel,condominio,iptu,fotos,endereco,description,description_len,features,url
R$ 1.000/mês,R$ 355,,13 fotos,"Vila Cardia, Bauru - SP",,0,"['51m²', '2 quartos', '1 banheiro', '1 vaga']",https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-cardia-bairros-bauru-com-garagem-51m2-aluguel-RS1000-id-2526724181/
R$ 1.000/mês,R$ 445,,14 fotos,"Jardim Infante Dom Henrique, Bauru - SP",,0,"['63m²', '2 quartos', '2 banheiros\n1 suíte', '1 vaga']",https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-infante-dom-henrique-bairros-bauru-com-garagem-63m2-aluguel-RS1000-id-2526697897/
R$ 1.100/mês,R$ 399,,12 fotos,"Vila Santo Antonio, Bauru - SP",,0,"['55m²', '2 quartos', '1 banheiro', '2 vagas']",https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-santo-antonio-bairros-bauru-com-garagem-55m2-aluguel-RS1100-id-2525938682/
R$ 1.100/mês,R$ 325,,13 fotos,"Vila Maracy, Bauru - SP",,0,"['50m²', '2 quartos', '1 banheiro', '1 vaga']",https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-maracy-bairros-bauru-com-garagem-50m2-aluguel-RS1100-id-2500179549/
R$ 1.500/mês,R$ 836,,15 fotos,"Vila Santa Tereza, Bauru - SP",,0,"['95m²', '3 quartos', '3 banheiros\n1 suíte', '2 vagas']",https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-santa-tereza-bairros-bauru-com-garagem-95m2-aluguel-RS1500-id-2526734945/
R$ 900/mês,R$ 300,,9 fotos,"Parque Viaduto, Bauru - SP",,0,"['65m²', '3 quartos', '1 banheiro', '1 vaga']",https://www.vivareal.com.br/imovel/apartamento-3-quartos-parque-viaduto-bairros-bauru-com-garagem-65m2-aluguel-RS900-id-2525958974/
R$ 900/mês,R$ 249,,7 fotos,"Vila Santa Tereza, Bauru - SP","01 dormitório com armário embutido
banheiro com box de vidro e gabinete
sala 02 ambientes
varanda com linda vista para cidade
cozinha com armários
área de serviço
01 vaga de garagem coberta
condominio conta com:
portaria 24hs
playground
salão de jogos
salão de festas
ótima localização, perto de mercados, farmácias, bancos, lojas, academias, restaurantes, escolas infantis, com acesso fácil as avenidas Duque de Caxias e Nações Unidas",55,"['45m²', '1 quarto', '1 banheiro', '1 vaga', 'Garagem', 'Interfone', 'Cozinha', 'Área de serviço']",https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-santa-tereza-bairros-bauru-com-garagem-45m2-aluguel-RS900-id-2525958490/
R$ 1.100/mês,R$ 290,,17 fotos,"Centro, Bauru - SP","MARAVILHOSO APTO!! Residencial Donatella em fase de colocação de armários localizado na zona sul de Bauru , Apartamento composto de 01 quarto, 01 banheiro, 01 sala, sacada, área de serviço, vaga de garagem. Completo em armários.
Características do Imóvel
1 Churrasqueira
1 Elevador
Portaria
1 Sacada
Características do Condomínio
Elevador social
Interfone -",45,"['50m²', '1 quarto', '1 banheiro', '1 vaga', 'Churrasqueira', 'Elevador', 'Varanda']",https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-bauru-com-garagem-50m2-aluguel-RS1100-id-2526731087/
R$ 1.000/mês,Não informado,,17 fotos,"Rua Sete de Setembro - Centro, Bauru - SP","Casa para alugar no Centro da cidade com 03 dormitórios, sala cozinha e quintal nos fundos. Não possui garagem! Agende hoje uma visita!",23,"['100m²', '3 quartos', '1 banheiro', 'Não informado SOLICITAR', 'Quintal']",https://www.vivareal.com.br/imovel/casa-3-quartos-centro-bairros-bauru-100m2-aluguel-RS1000-id-2526418271/
R$ 670/mês,R$ 300,,12 fotos,"Jardim Terra Branca, Bauru - SP","Apartamento com boa localização, andar alto Jardim Terra Branca.",9,"['47m²', '2 quartos', '1 banheiro', '1 vaga', 'Garagem', 'Interfone', 'Cozinha', 'Área de serviço']",https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-terra-branca-bairros-bauru-com-garagem-47m2-aluguel-RS670-id-2526022007/
R$ 555/mês,Não informado,,5 fotos,"Vila Santo Antonio, Bauru - SP",,0,"['47m²', '1 quarto', '1 banheiro', 'Não informado SOLICITAR']",https://www.vivareal.com.br/imovel/kitnet-1-quartos-vila-santo-antonio-bairros-bauru-47m2-aluguel-RS555-id-2525852611/
R$ 900/mês,R$ 380,,8 fotos,"Rua Bartolomeu de Gusmão - Jardim América, Bauru - SP",,0,"['62m²', '2 quartos', '1 banheiro', '1 vaga']",https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-america-bairros-bauru-com-garagem-62m2-aluguel-RS900-id-2526416966/
R$ 2.500/mês,Não informado,,17 fotos,"Vila Nova Cidade Universitaria, Bauru - SP",,0,"['150m²', '3 quartos', '3 banheiros\n1 suíte', '2 vagas']",https://www.vivareal.com.br/imovel/casa-3-quartos-vila-nova-cidade-universitaria-bairros-bauru-com-garagem-150m2-aluguel-RS2500-id-2526795397/
R$ 1.100/mês,R$ 680,,13 fotos,"Vila Aeroporto Bauru, Bauru - SP",,0,"['80m²', '3 quartos', '3 banheiros\n1 suíte', '2 vagas']",https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-aeroporto-bauru-bairros-bauru-com-garagem-80m2-aluguel-RS1100-id-2526696475/
R$ 670/mês,R$ 300,,11 fotos,"Jardim Terra Branca, Bauru - SP",,0,"['47m²', '2 quartos', '1 banheiro', '1 vaga']",https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-terra-branca-bairros-bauru-com-garagem-47m2-aluguel-RS670-id-2525850331/
R$ 1.300/mês,Não informado,,12 fotos,"Jardim das Orquídeas, Bauru - SP",,0,"['150m²', '2 quartos', '1 banheiro', '2 vagas']",https://www.vivareal.com.br/imovel/casa-2-quartos-jardim-das-orquideas-bairros-bauru-com-garagem-150m2-aluguel-RS1300-id-2526350923/
R$ 2.500/mês,Não informado,,19 fotos,"Jardim Terra Branca, Bauru - SP",http://www.abelsampaio.com.br/,1,"['100m²', '3 quartos', '1 banheiro\n1 suíte', '3 vagas', 'Área de serviço']",https://www.vivareal.com.br/imovel/casa-3-quartos-jardim-terra-branca-bairros-bauru-com-garagem-100m2-aluguel-RS2500-id-2527017677/
