n_caracteristicas,metros,quartos,banheiros,vagas,descricao,endereco,y
4,200,2,3,2,0,PRACA RUI BARBOSA  JARDIM BELA VISTA,1390.0
9,80,3,3,2,16,JARDIM INFANTE DOM HENRIQUE,1500.0
9,48,2,1,1,36,JARDIM INFANTE DOM HENRIQUE,1200.0
4,140,4,4,2,0,JARDIM BRASIL,1000.0
4,42,2,1,1,0,PARQUE SAO JOAO,790.0
9,68,3,1,1,15,VILA CIDADE UNIVERSITARIA,1000.0
8,80,3,2,1,12,JARDIM INFANTE DOM HENRIQUE,1350.0
4,106,3,3,2,0,JARDIM PANORAMA,1350.0
6,52,2,1,1,49,JARDIM SAMBURA,500.0
4,96,3,2,2,0,VILA AVIACAO,2800.0
9,65,2,2,1,22,ALAMEDA DOUTOR OCTAVIO PINHEIRO BRISOLLA  VILA SANTA TEREZA,750.0
9,80,3,2,2,20,VILA CIDADE UNIVERSITARIA,1300.0
9,350,3,3,4,67,VILA AVIACAO,4000.0
8,75,2,2,1,1,VILA NOVA CIDADE UNIVERSITARIA,900.0
7,65,2,1,1,27,JARDIM BRASIL,800.0
4,64,2,2,1,0,VILA CARDIA,2000.0
9,36,1,1,1,35,PRACA RAMON ANTONIO GARCIA BELLIDO   VILA NOVA CIDADE UNIVERSITARIA,600.0
4,55,1,1,1,0,VILA ALTINOPOLIS,550.0
9,32,1,1,1,16,VILA CIDADE UNIVERSITARIA,1250.0
7,67,2,1,1,48,VILA NOVA CIDADE UNIVERSITARIA,1750.0
4,97,3,3,2,0,VILA AVIACAO,3000.0
4,160,3,5,2,0,JARDIM PAULISTA,3500.0
6,320,3,3,2,11,VILA AVIACAO,5000.0
4,100,4,4,-1,0,CENTRO,3000.0
6,48,2,1,1,23,JARDIM INFANTE DOM HENRIQUE,950.0
4,280,3,2,2,0,VILA CARDIA,1600.0
4,86,3,3,1,0,VILA AVIACAO,2600.0
9,95,3,3,2,74,VILA SANTA TEREZA,1500.0
9,260,3,4,3,49,JARDIM ESTORIL IV,3500.0
9,216,3,5,2,40,RESIDENCIAL VILLAGGIO,4000.0
9,55,2,1,1,50,JARDIM PANORAMA,1100.0
8,38,2,1,1,63,VILA SOUTO,650.0
9,183,4,5,3,80,VILA AVIACAO,6000.0
9,70,2,2,1,111,PARQUE JARDIM EUROPA,2100.0
4,360,5,7,6,0,JARDIM ESTORIL,5500.0
9,45,2,1,1,66,JARDIM OURO VERDE,750.0
4,65,1,1,-1,0,CENTRO,410.0
4,69,3,1,1,0,PARQUE RESIDENCIAL DAS CAMELIAS,750.0
4,73,3,2,1,0,PARQUE RESIDENCIAL DAS CAMELIAS,800.0
4,304,3,2,2,0,VILA AVIACAO,5000.0
5,66,2,1,1,34,CENTRO,750.0
4,288,3,5,2,0,VILA SANTO ANTONIO,3000.0
4,250,2,2,2,0,PARQUE VISTA ALEGRE,1100.0
4,105,3,2,1,0,VILA ALTINOPOLIS,1100.0
4,50,2,1,1,0,RESIDENCIAL PARQUE COLINA VERDE,890.0
4,70,3,2,2,0,VILA NOVA CIDADE UNIVERSITARIA,2000.0
9,100,3,2,2,57,VILA NOVA SANTA CLARA,1800.0
6,40,1,1,1,32,VILA CARDIA,550.0
4,49,2,2,1,0,VILA GIUNTA,550.0
4,45,2,1,1,0,VILA INDEPENDENCIA,760.0
4,242,3,2,-1,0,VILA AVIACAO,4000.0
9,71,2,2,2,87,JARDIM SOLANGE,-1.0
4,84,3,2,2,0,VILA AVIACAO,2600.0
9,147,3,4,2,42,ALTOS DA CIDADE,1500.0
9,220,4,4,2,52,CENTRO,1800.0
4,60,2,1,1,0,PARQUE VIADUTO,550.0
4,200,3,2,1,0,JARDIM BRASIL,2900.0
9,182,3,4,3,151,VILA SANTA TEREZA,4500.0
4,55,1,1,1,0,VILA NOVA CIDADE UNIVERSITARIA,1000.0
9,55,2,1,1,31,JARDIM INFANTE DOM HENRIQUE,1000.0
4,81,3,2,2,0,JARDIM ESTORIL,1700.0
4,48,2,1,1,0,JARDIM AURI VERDE,600.0
6,60,2,1,1,12,JARDIM OLIMPICO,750.0
4,242,3,4,2,0,VILA AVIACAO,4000.0
4,86,3,2,2,0,JARDIM PANORAMA,1900.0
9,127,3,3,2,64,JARDIM PANORAMA,1500.0
